                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2064,                 1.4372,                 2.6787,                0.83684,                0.91614,                0.94365,                0.70703,                0.77776,                0.58245,                 2.3826,             0.00041542,             0.00041542,             0.00041542
                      2,                0.94013,                0.73184,                  2.429,                0.85889,                0.95006,                0.95063,                 0.7573,                0.68178,                0.51074,                 2.2966,             0.00082179,             0.00082179,             0.00082179
                      3,                0.88968,                0.66713,                 2.3898,                0.81362,                0.89378,                0.89778,                0.73558,                0.61491,                0.49518,                 2.2834,              0.0012178,              0.0012178,              0.0012178
                      4,                0.85101,                 0.6239,                 2.3544,                0.93217,                0.96942,                0.97401,                0.80124,                0.60803,                0.43958,                 2.2513,              0.0012036,              0.0012036,              0.0012036
                      5,                0.80661,                0.58977,                 2.3204,                0.93408,                0.94359,                0.97274,                0.81078,                0.63942,                0.42606,                 2.2074,              0.0011881,              0.0011881,              0.0011881
                      6,                0.78543,                0.56705,                 2.2883,                0.90032,                0.92797,                0.97416,                 0.8403,                0.57102,                0.40352,                 2.1566,              0.0011727,              0.0011727,              0.0011727
                      7,                0.75969,                0.53956,                 2.2632,                0.89927,                0.95724,                0.95141,                0.80079,                0.55488,                0.39432,                 2.1223,              0.0011572,              0.0011572,              0.0011572
                      8,                0.74843,                0.53517,                 2.2351,                0.97752,                0.98233,                0.99278,                0.84352,                0.53575,                 0.3526,                 2.0892,              0.0011417,              0.0011417,              0.0011417
                      9,                0.73164,                0.52127,                 2.2313,                 0.9418,                 0.9839,                0.98982,                0.86974,                0.53922,                0.34798,                 2.0873,              0.0011263,              0.0011263,              0.0011263
                     10,                0.72076,                0.51428,                 2.2154,                0.93005,                0.94747,                0.98497,                0.87335,                0.49144,                0.35275,                 2.0503,              0.0011108,              0.0011108,              0.0011108
                     11,                0.70715,                0.50143,                 2.1898,                0.93756,                0.92931,                0.98526,                0.86335,                0.49576,                0.35783,                 2.0543,              0.0010953,              0.0010953,              0.0010953
                     12,                 0.6992,                0.50126,                  2.204,                0.90081,                0.96576,                0.98762,                  0.883,                  0.485,                0.34849,                 2.0558,              0.0010798,              0.0010798,              0.0010798
                     13,                0.68834,                0.48644,                 2.1904,                0.97356,                0.98219,                0.99309,                0.88457,                 0.4712,                0.33155,                 2.0303,              0.0010644,              0.0010644,              0.0010644
                     14,                0.67666,                 0.4857,                 2.1652,                0.96203,                0.96888,                0.99132,                0.87666,                0.50474,                0.35199,                 1.9881,              0.0010489,              0.0010489,              0.0010489
                     15,                0.67152,                0.47559,                  2.166,                0.90164,                0.94579,                0.97724,                0.88222,                0.43891,                0.33773,                 1.9676,              0.0010334,              0.0010334,              0.0010334
                     16,                0.65635,                0.46438,                 2.1333,                0.90733,                0.99315,                0.98798,                0.89678,                0.44472,                0.30664,                 1.9698,               0.001018,               0.001018,               0.001018
                     17,                0.64832,                 0.4607,                 2.1281,                0.98272,                0.99468,                 0.9939,                0.90258,                0.44509,                0.30621,                 1.9974,              0.0010025,              0.0010025,              0.0010025
                     18,                0.65476,                0.46194,                 2.1447,                0.93263,                0.98638,                0.99189,                0.88683,                0.45085,                0.32165,                 1.9746,             0.00098703,             0.00098703,             0.00098703
                     19,                0.63191,                0.44845,                 2.1087,                0.91406,                0.97244,                0.99169,                0.87463,                0.45151,                0.32906,                 1.9915,             0.00097156,             0.00097156,             0.00097156
                     20,                0.62579,                 0.4466,                 2.1269,                0.95554,                0.99385,                0.98339,                0.90261,                0.41399,                0.29258,                 1.9312,             0.00095609,             0.00095609,             0.00095609
                     21,                0.62151,                0.43892,                 2.1112,                0.97861,                0.97547,                0.99307,                0.90772,                0.44632,                0.29023,                 1.9226,             0.00094062,             0.00094062,             0.00094062
                     22,                 0.6188,                0.43779,                 2.0996,                0.96277,                 0.9964,                0.99247,                0.89638,                0.44453,                0.29628,                 1.9853,             0.00092516,             0.00092516,             0.00092516
                     23,                0.60791,                0.42897,                 2.0912,                0.98424,                0.98454,                0.99365,                0.89496,                0.44913,                0.29631,                 1.9186,             0.00090969,             0.00090969,             0.00090969
                     24,                0.61037,                0.43055,                 2.0999,                 0.9585,                0.98511,                0.99268,                0.90303,                0.42142,                0.29863,                 1.9095,             0.00089422,             0.00089422,             0.00089422
                     25,                 0.6044,                0.42917,                 2.0928,                0.94008,                0.99226,                0.98876,                0.90762,                0.40993,                0.28278,                 1.9105,             0.00087875,             0.00087875,             0.00087875
                     26,                 0.5886,                0.41533,                 2.0699,                 0.9643,                0.99515,                0.99372,                0.90284,                0.43625,                0.28407,                  1.889,             0.00086328,             0.00086328,             0.00086328
                     27,                0.59988,                 0.4256,                 2.0855,                0.94991,                 0.9928,                0.99113,                0.92901,                0.38398,                0.27158,                 1.8715,             0.00084781,             0.00084781,             0.00084781
                     28,                0.59119,                0.41814,                 2.0796,                 0.9726,                0.99232,                0.99338,                0.91041,                0.39031,                0.28162,                 1.8885,             0.00083234,             0.00083234,             0.00083234
                     29,                0.57639,                0.40867,                 2.0503,                0.97439,                0.99087,                0.99357,                0.91849,                0.39566,                0.27727,                  1.856,             0.00081688,             0.00081688,             0.00081688
                     30,                 0.5831,                0.40837,                 2.0747,                0.97598,                0.99346,                0.99383,                0.91762,                0.39707,                0.26858,                 1.8837,             0.00080141,             0.00080141,             0.00080141
                     31,                0.57466,                0.40671,                 2.0727,                0.94311,                0.99543,                0.99387,                0.92719,                0.38832,                0.27227,                 1.8809,             0.00078594,             0.00078594,             0.00078594
                     32,                0.57312,                0.40594,                 2.0606,                0.97317,                0.98997,                0.99421,                0.92353,                0.37665,                0.27133,                 1.8582,             0.00077047,             0.00077047,             0.00077047
                     33,                0.56438,                0.39839,                 2.0483,                0.98123,                0.99052,                0.99398,                0.92843,                0.36358,                0.26662,                   1.85,               0.000755,               0.000755,               0.000755
                     34,                0.56329,                0.39999,                 2.0626,                0.97129,                  0.992,                0.99414,                0.93009,                0.37434,                0.26845,                 1.8396,             0.00073953,             0.00073953,             0.00073953
                     35,                0.55625,                0.38891,                 2.0421,                0.98341,                0.98753,                  0.994,                0.93484,                0.36626,                0.26055,                 1.8426,             0.00072406,             0.00072406,             0.00072406
                     36,                0.55568,                0.39267,                 2.0495,                0.96962,                 0.9894,                0.99401,                0.93796,                 0.3558,                0.25303,                 1.8436,             0.00070859,             0.00070859,             0.00070859
                     37,                0.54942,                0.38586,                  2.029,                 0.9821,                 0.9965,                 0.9941,                 0.9309,                0.35985,                0.26128,                 1.8483,             0.00069313,             0.00069313,             0.00069313
                     38,                 0.5474,                0.38676,                 2.0406,                 0.9732,                0.99721,                0.99411,                0.94577,                0.35064,                0.25404,                 1.8495,             0.00067766,             0.00067766,             0.00067766
                     39,                0.54492,                0.38467,                 2.0318,                0.97055,                0.99565,                0.99309,                0.91985,                0.35719,                0.25849,                 1.8309,             0.00066219,             0.00066219,             0.00066219
                     40,                0.53605,                0.37564,                 2.0143,                0.97218,                0.99613,                0.99436,                0.93351,                0.34878,                0.24752,                 1.8306,             0.00064672,             0.00064672,             0.00064672
                     41,                0.52771,                0.37212,                 2.0143,                0.98427,                0.99755,                0.99449,                0.94075,                0.34294,                0.25036,                  1.845,             0.00063125,             0.00063125,             0.00063125
                     42,                0.53121,                0.37131,                 2.0178,                0.97266,                0.99768,                0.99413,                0.94388,                0.34546,                0.25232,                 1.8304,             0.00061578,             0.00061578,             0.00061578
                     43,                0.52566,                0.36937,                 2.0019,                0.95996,                0.99246,                0.99213,                0.93449,                0.34014,                0.25712,                 1.8123,             0.00060031,             0.00060031,             0.00060031
                     44,                0.52764,                0.37055,                 2.0216,                0.97492,                0.99277,                0.99367,                0.93535,                0.33995,                0.24374,                 1.7978,             0.00058484,             0.00058484,             0.00058484
                     45,                0.52534,                0.37122,                 2.0172,                0.96467,                0.99768,                0.99333,                0.93581,                0.33082,                0.24831,                 1.7943,             0.00056938,             0.00056938,             0.00056938
                     46,                0.51654,                0.36528,                 2.0118,                0.98417,                0.99763,                0.99375,                0.93782,                0.34153,                0.24592,                 1.8094,             0.00055391,             0.00055391,             0.00055391
                     47,                 0.5136,                0.36162,                  2.005,                0.98059,                0.99622,                0.99405,                0.94635,                0.32497,                0.23544,                 1.7864,             0.00053844,             0.00053844,             0.00053844
                     48,                0.51384,                0.36021,                 1.9992,                0.98375,                0.99721,                0.99421,                0.94386,                0.32251,                0.22847,                 1.7975,             0.00052297,             0.00052297,             0.00052297
                     49,                0.50562,                0.35628,                 1.9908,                0.98068,                0.99699,                0.99424,                0.94263,                0.32793,                0.23495,                 1.7951,              0.0005075,              0.0005075,              0.0005075
