epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3785,1.10553,2.31781,1.33256,0.41707,0.39294,0.34907,0.16778,1.46661,3.04764,1.96434,0.000659091,0.000659091,0.000659091
2,29.1966,1.18114,1.65962,1.32229,0.57025,0.63844,0.60476,0.34844,1.29302,3.57152,2.13845,0.00130388,0.00130388,0.00130388
3,42.5254,1.18384,1.42367,1.33396,0.68498,0.62695,0.66998,0.39548,1.22941,2.30725,1.85949,0.00192667,0.00192667,0.00192667
4,55.172,1.17343,1.23412,1.34867,0.70236,0.64302,0.71098,0.38162,1.36822,1.58371,1.7875,0.001901,0.001901,0.001901
5,67.7482,1.14398,1.17946,1.33496,0.45248,0.50801,0.42991,0.19816,1.93531,2.02639,2.41695,0.001868,0.001868,0.001868
6,80.251,1.10202,1.08296,1.29204,0.41032,0.45538,0.3893,0.18132,1.82001,2.42274,1.9741,0.001835,0.001835,0.001835
7,92.8426,1.058,0.99765,1.27489,0.85108,0.82151,0.87712,0.55273,1.12124,1.03658,1.64168,0.001802,0.001802,0.001802
8,105.378,1.04815,0.96076,1.27068,0.67965,0.72998,0.76055,0.40872,1.25053,1.40052,1.64719,0.001769,0.001769,0.001769
9,117.829,1.01259,0.89158,1.22995,0.80892,0.8622,0.84219,0.55468,1.05625,0.82371,1.49479,0.001736,0.001736,0.001736
10,130.224,0.99112,0.84534,1.21195,0.82479,0.8079,0.83919,0.52662,1.12325,0.89362,1.52746,0.001703,0.001703,0.001703
11,142.69,0.98317,0.85538,1.21233,0.77996,0.73455,0.78724,0.52091,1.15709,0.96161,1.53708,0.00167,0.00167,0.00167
12,155.308,0.96386,0.81133,1.20567,0.80536,0.82838,0.83881,0.57658,1.0688,0.96416,1.48585,0.001637,0.001637,0.001637
